SCD	speaker	tmin	tmax	text	string	conv
3000-2	B:	 110.697000	 112.59700	I mean everybody collects Pokemon cards [lah]	[lah]	3000
3000-2	B:	 125.597000	 126.66000	value to it [lah]	[lah]	3000
3000-2	B:	 303.564000	 305.78900	ya and I don't don't really believe in it [lah]	[lah]	3000
3000-1	A:	 385.157000	 386.39400	eh so that's the main thing [lah]	[lah]	3000
3000-1	A:	 570.770000	 571.78300	neutral [lah]	[lah]	3000
3000-2	B:	 571.351000	 573.12600	it's good for the country [lah]	[lah]	3000
3000-2	B:	 736.300000	 739.48000	you know when I talk to people they don't really blame me [lah]	[lah]	3000
3000-2	B:	 867.167000	 870.69200	it's banned I mean there are there are certain restrictions to it [lah]	[lah]	3000
3000-2	B:	1108.065000	1109.01500	rebellious [lah]	[lah]	3000
3000-2	B:	1144.836000	1147.47300	left a great great impact on me [lah]	[lah]	3000
3000-2	B:	1182.676000	1184.76600	what's what's so funny okay [lah]	[lah]	3000
3000-2	B:	1515.784000	1516.78400	I don't think so [lah]	[lah]	3000
3001-1	A:	 111.517000	 113.42900	ya so like what about it [lah]	[lah]	3001
3001-1	A:	 309.892000	 311.77900	I just hope they don't overwork you [lah]	[lah]	3001
3001-2	B:	 412.794000	 415.08100	opportunities hopefully [lah]	[lah]	3001
3001-2	B:	 480.094000	 481.39400	just try first [lah]	[lah]	3001
3001-1	A:	 496.940000	 498.41500	exactly as I said [lah]	[lah]	3001
3001-1	A:	 565.568000	 566.81800	it's for the company [lah]	[lah]	3001
3001-1	A:	 595.656000	 597.79300	during that period of time you won't be sending any resumes [lah]	[lah]	3001
3001-2	B:	 696.575000	 698.01500	[oh] ya ya the h_r [lah]	[lah]	3001
3001-2	B:	 705.678000	 707.00300	should be okay [lah]	[lah]	3001
3001-1	A:	 746.180000	 747.24200	I think it's okay [lah]	[lah]	3001
3001-1	A:	 767.372000	 769.93500	bring the conversation get the conversation going [lah]	[lah]	3001
